Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,33,28,2307,25.6,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,147,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115,0.23,0.14,0.36,0.23,0.36,0.30,0.13,0.42,0.30,0.42,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,22,20,1815,20.2,1,0,1,1,0,0,3,0,0.6,0.6,0.4,1.0,16,83,3,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,16,15,1415,15.7,2,0,2,2,0,0,4,0,2.2,2.2,0.4,2.6,2,24,4,0.13,0.00,0.13,0.13,0.13,0.14,0.03,0.17,0.14,0.17,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,27,22,2141,23.8,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,23,103,12,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,25,21,1811,20.1,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.2,25,139,30,0.05,0.00,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,15,10,797,8.9,4,1,5,4,0,0,2,0,1.6,1.6,0.5,2.1,13,22,28,0.45,0.11,0.56,0.45,0.56,0.18,0.06,0.24,0.18,0.24,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,34,31,2653,29.5,1,8,9,1,0,0,4,0,2.0,2.0,10.0,12.0,37,213,126,0.03,0.27,0.31,0.03,0.31,0.07,0.34,0.41,0.07,0.41,Matches,cd1acf9d
