Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Barcelona,34,27,4,3,64,13,+51,85,2.50,67.2,28.4,+38.8,+1.14,W L W W W,82920,Robert Lewandowski - 21,Marc-André ter Stegen,
2,Real Madrid,34,22,5,7,70,32,+38,71,2.09,70.3,33.7,+36.6,+1.08,W L W L W,57044,Karim Benzema - 17,Thibaut Courtois,
3,Atlético Madrid,34,21,6,7,60,27,+33,69,2.03,55.6,34.8,+20.8,+0.61,L W W W L,55708,Álvaro Morata Antoine Griezmann - 13,Jan Oblak,
4,Real Sociedad,34,18,8,8,45,31,+14,62,1.82,45.9,30.6,+15.3,+0.45,W D W W D,32056,Alexander Sørloth - 10,Álex Remiro,
5,Villarreal,34,17,6,11,52,35,+17,57,1.68,55.3,44.2,+11.1,+0.33,L W W D W,16375,Nicolas Jackson - 9,Pepe Reina,
6,Betis,34,16,7,11,43,38,+5,55,1.62,47.4,46.2,+1.2,+0.03,L D L W W,49923,Borja Iglesias - 13,Rui Silva,
7,Girona,34,13,9,12,54,48,+6,48,1.41,46.0,47.5,-1.6,-0.05,L W W W D,11380,Valentín Castellanos - 13,Paulo Gazzaniga,
8,Athletic Club,34,13,8,13,44,38,+6,47,1.38,47.6,33.0,+14.6,+0.43,W L D L L,43982,Iñaki Williams Oihan Sancet - 9,Unai Simón,
9,Osasuna,34,13,8,13,32,36,-4,47,1.38,35.5,39.6,-4.0,-0.12,W W L L W,19499,Ezequiel Ávila - 7,Aitor Fernández,
10,Sevilla,34,13,8,13,44,49,-5,47,1.38,42.8,50.0,-7.2,-0.21,W W L W W,35559,Youssef En-Nesyri - 8,Yassine Bounou,
11,Rayo Vallecano,34,12,10,12,41,45,-4,46,1.35,38.8,44.3,-5.6,-0.16,L W L W L,12633,Isaac Palazón Camacho - 8,Stole Dimitrievski,
12,Mallorca,34,12,8,14,33,37,-4,44,1.29,31.6,38.0,-6.4,-0.19,W L D L W,14825,Vedat Muriqi - 13,Predrag Rajković,
13,Celta Vigo,34,10,9,15,39,48,-9,39,1.15,39.8,40.3,-0.4,-0.01,L W L L L,13918,Iago Aspas - 12,Agustín Marchesín,
14,Valencia,34,10,7,17,38,41,-3,37,1.09,42.6,39.7,+2.9,+0.09,W W L D W,40076,Justin Kluivert - 6,Giorgi Mamardashvili,
15,Almería,34,10,6,18,43,61,-18,36,1.06,40.1,58.9,-18.8,-0.55,L W L W L,12874,El Bilal Touré - 6,Fernando,
16,Cádiz,34,8,11,15,26,50,-24,35,1.03,33.4,56.1,-22.8,-0.67,D L W L L,17554,Álex Fernández Lucas Pérez... - 3,Jeremías Ledesma,
17,Valladolid,34,10,5,19,30,60,-30,35,1.03,34.3,58.8,-24.5,-0.72,W L L L L,20592,Cyle Larin - 7,Jordi Masip,
18,Getafe,34,8,10,16,30,43,-13,34,1.00,31.6,42.4,-10.8,-0.32,L L L W L,11342,Enes Ünal - 14,David Soria,
19,Espanyol,34,7,10,17,42,60,-18,31,0.91,42.2,50.9,-8.8,-0.26,D L W L L,21787,Joselu - 15,Fernando Pacheco,
20,Elche,34,4,7,23,26,64,-38,19,0.56,32.4,62.9,-30.5,-0.90,L L W L W,20457,Pere Milla - 6,Édgar Badía,
