Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Paris S-G,35,26,3,6,84,35,+49,81,2.31,73.0,43.1,+29.9,+0.86,W W L W W,38669,Kylian Mbappé - 26,Gianluigi Donnarumma,
2,Lens,35,22,9,4,59,27,+32,75,2.14,59.8,38.7,+21.1,+0.60,L W W W W,35561,Loïs Openda - 19,Brice Samba,
3,Marseille,35,22,7,6,65,35,+30,73,2.09,62.1,39.6,+22.5,+0.64,W W W L W,55628,Alexis Sánchez - 14,Pau López,
4,Monaco,35,19,8,8,68,51,+17,65,1.86,57.6,47.3,+10.3,+0.29,W L L W D,6154,Wissam Ben Yedder - 17,Alexander Nübel,
5,Lille,35,17,9,9,60,41,+19,60,1.71,63.5,38.4,+25.0,+0.72,W D W L D,31172,Jonathan David - 21,Lucas Chevalier,
6,Rennes,35,18,5,12,60,38,+22,59,1.69,56.9,41.9,+15.0,+0.43,W L W L W,22997,Amine Gouiri - 11,Steve Mandanda,
7,Lyon,35,16,8,11,58,43,+15,56,1.60,54.7,46.5,+8.2,+0.23,W L W W L,39395,Alexandre Lacazette - 25,Anthony Lopes,
8,Clermont Foot,35,15,8,12,39,45,-6,53,1.51,42.5,53.6,-11.1,-0.32,W W W D W,8690,Grejohn Kyei - 9,Mory Diaw,
9,Lorient,35,14,10,11,49,47,+2,52,1.49,41.7,53.9,-12.2,-0.35,L L W W D,12863,Terem Moffi - 12,Vito Mannone,
10,Nice,35,13,12,10,42,34,+8,51,1.46,49.3,39.7,+9.6,+0.27,L L W W L,17666,Gaëtan Laborde - 10,Kasper Schmeichel,
11,Reims,35,12,14,9,42,37,+5,50,1.43,57.4,46.7,+10.8,+0.31,L L L W L,10342,Folarin Balogun - 19,Yehvann Diouf,
12,Montpellier,35,13,5,17,57,58,-1,44,1.26,45.7,56.3,-10.6,-0.30,L W W L D,11272,Sepe Elye Wahi - 17,Benjamin Lecomte,
13,Toulouse,35,12,7,16,48,55,-7,43,1.23,48.3,51.7,-3.4,-0.10,L W L D D,22184,Thijs Dallinga - 12,Maxime Dupé,
14,Strasbourg,35,9,11,15,48,55,-7,38,1.09,44.7,53.3,-8.6,-0.25,W W L W W,21036,Habib Diallo - 20,Matz Sels,
15,Brest,35,9,11,15,39,50,-11,38,1.09,39.5,52.5,-13.0,-0.37,W D W L W,10106,Jérémy Le Douaron - 10,Marco Bizot,
16,Auxerre,35,8,10,17,32,57,-25,34,0.97,37.9,53.0,-15.2,-0.43,W D L D L,12590,M'Baye Niang Nuno da Costa - 5,Benoît Costil,
17,Nantes,35,6,15,14,35,50,-15,33,0.94,39.7,48.2,-8.5,-0.24,L D L L D,25137,Mostafa Mohamed - 8,Alban Lafont,
18,Ajaccio,35,6,5,24,22,66,-44,23,0.66,35.6,48.8,-13.2,-0.38,L D L D L,6071,Youcef Belaïli Mounaim El Idrissy - 6,Benjamin Leroy,
19,Troyes,35,4,10,21,42,77,-35,22,0.63,37.8,73.8,-36.0,-1.03,L D L L L,7363,Mama Samba Baldé - 12,Gauthier Gallon,
20,Angers,35,3,5,27,29,77,-48,14,0.40,38.3,58.8,-20.5,-0.59,L L L L L,8456,Abdallah Sima - 5,Paul Bernardoni,
