Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Napoli,35,26,5,4,70,25,+45,83,2.37,59.6,28.7,+31.0,+0.88,W D D W L,45428,Victor Osimhen - 23,Alex Meret,
2,Juventus,35,21,6,8,54,28,+26,69,1.97,51.3,37.5,+13.8,+0.39,L D W W W,35322,Dušan Vlahović - 10,Wojciech Szczęsny,
3,Inter,35,21,3,11,66,37,+29,66,1.89,63.7,32.6,+31.1,+0.89,W W W W W,68697,Lautaro Martínez - 20,André Onana,
4,Lazio,35,19,8,8,54,28,+26,65,1.86,45.5,39.9,+5.6,+0.16,L L W L D,43028,Ciro Immobile - 11,Ivan Provedel,
5,Milan,35,17,10,8,55,41,+14,61,1.74,52.2,38.7,+13.4,+0.38,W D D W L,71854,Rafael Leão - 12,Mike Maignan,
6,Roma,35,17,8,10,45,33,+12,59,1.69,52.6,27.7,+24.9,+0.71,L D D L D,61887,Paulo Dybala - 11,Rui Patrício,
7,Atalanta,35,17,7,11,56,42,+14,58,1.66,51.2,36.5,+14.7,+0.42,W W W L L,18699,Ademola Lookman - 13,Juan Musso,
8,Fiorentina,35,13,10,12,47,40,+7,49,1.40,50.4,40.0,+10.4,+0.30,L W D L W,30644,Arthur - 7,Pietro Terracciano,
9,Monza,35,13,10,12,44,45,-1,49,1.40,42.0,44.5,-2.5,-0.07,W W D D W,11464,Carlos - 6,Michele Di Gregorio,
10,Torino,35,13,10,12,37,39,-2,49,1.40,38.6,37.4,+1.2,+0.03,W L W D W,19111,Antonio Sanabria - 11,Vanja Milinković-Savić,
11,Bologna,35,12,11,12,43,44,-1,47,1.34,38.2,44.6,-6.4,-0.18,L D L D D,20718,Riccardo Orsolini - 10,Łukasz Skorupski,
12,Udinese,35,11,13,11,45,43,+2,46,1.31,43.4,47.4,-4.0,-0.11,W L D W L,21506,Beto - 10,Marco Silvestri,
13,Sassuolo,35,12,8,15,43,54,-11,44,1.26,46.0,44.4,+1.7,+0.05,L W L D L,13118,Domenico Berardi - 9,Andrea Consigli,
14,Empoli,35,9,12,14,32,45,-13,39,1.11,34.7,53.8,-19.2,-0.55,L L W W D,9370,Nicolò Cambiaghi - 6,Guglielmo Vicario,
15,Salernitana,35,8,14,13,43,56,-13,38,1.09,33.7,62.1,-28.4,-0.81,W D D L W,18729,Boulaye Dia - 15,Guillermo Ochoa,
16,Lecce,35,7,11,17,30,43,-13,32,0.91,33.2,39.2,-6.0,-0.17,L W L L D,24506,Gabriel Strefezza - 8,Wladimiro Falcone,
17,Spezia,35,6,12,17,30,56,-26,30,0.86,38.8,56.0,-17.1,-0.49,D L L L W,8542,M'Bala Nzola - 13,Bartłomiej Drągowski,
18,Hellas Verona,35,7,9,19,28,52,-24,30,0.86,33.1,45.0,-12.0,-0.34,W D L W L,17434,Simone Verdi - 5,Lorenzo Montipò,
19,Cremonese,35,4,12,19,31,61,-30,24,0.69,35.5,60.8,-25.3,-0.72,L D D W L,12126,Daniel Ciofani David Okereke - 7,Marco Carnesecchi,
20,Sampdoria,35,3,9,23,21,62,-41,18,0.51,30.7,57.7,-27.0,-0.77,D L L L D,19291,Manolo Gabbiadini - 6,Emil Audero,
